Number,Category,Tag,Proirity,Priority Score,Relates to ,Complexity,Complexity Score,Total Score,Track ,DDA Item,Feature_Name,To Pick up,Summary,Remarks,Already Picked up,Start Sprint 
35,Design,,High,8,,Low,8,16,Comprehensive audit of current design patterns and identify improvement areas.,,Design Audit,Yes,Comprehensive audit of current design patterns and identify improvement areas.,To be discussed with Ahmed,,
40,Product,New feature ,High ,8,,Low,8,16,,,Enable Download of All issued documents in DV ,Yes,Enable downloading all issued documents in DV,,No,
1,Product,Reporting,High,8,2,Medium,5,13,,,Status-Based Reporting Implementation,Yes,"Deploy 23-status-code tracking system to enable accurate measurement of all sharing requests. Foundation for all optimization. Database schema enhancement to track status transition history (previous_status, timestamps) for journey analysis.",To have a discussion to showcase the new model and the possible reports that can be achived once its available ,Yes,70
10,Product,New Feature,High,8,,Low,8,16,,,Auto-Add Documents Launch / One-Time Consent,Yes,One-time consent for DV to periodically check and auto-add new/updated documents from issuers.,Pending Legal TDRA approval,,
19,SP ,,High,8,,Low,8,16,SP track ,,Form Filler,Yes,Auto-fill forms using stored document data to streamline user workflows.,Service Provider related,,
28,Technical,,High,8,,Low,8,16,,,Infinite Loaders Detection and Resolution,Yes,Detect and resolve infinite loading states across the application.,,Yes,70
29,Technical,,High,8,,Low,8,16,,,Firebase Configuration & Optimization,Yes,"Firebase Remote Config and push notification optimization, monitoring, and maintenance.",,,
17,UX,,High,8,,Medium,5,13,,Yes,Home Page Revamp,Yes,Redesign the DV home page for improved user experience and engagement.,,,
16,Design,,High,8,,Medium,5,13,,Yes,Design System Update,Yes,Update and maintain the DV design system for consistency across platforms.,,,
5,Product,Reporting,High,8,1,Medium,5,13,,Yes,User Behavior Analytics Tool Selection,Yes,"Select and integrate analytics tool (UXCam/Firebase Analytics) to enable data-driven optimization, session replay, and Real User Monitoring (RUM) for user behavior patterns.",,No,
7,UX,,High,8,,Medium,5,13,,,UX Enhancements Bundle - Revisit documents list view ,Yes,Placeholder for UI/UX enhancements.,,,
8,Technical,,High,8,,Medium,5,13,,,Error-to-Status Code Linking System,Yes,Structured error taxonomy mapped to status codes for automated troubleshooting and support ticket reduction.,,,
9,Product,New Feature,High,8,,Medium,5,13,,,Dual Citizenship GA,Yes,Complete Primary/Secondary EID handling with final EN/AR copy approval and edge case handling.,,Yes,72
18,UX,,High,8,,Medium,5,13,,,UX/UI Enhancements Bundle 2,Yes,Second bundle of UI/UX improvements based on user feedback and analytics.,,,
37,UX,,High,8,,Medium,5,13,,,Enhancement/Revamp Document Request,Yes,Redesign the document request flow for improved user experience.,,,
38,UX,,High,8,,Medium,5,13,,,Revamp Document Sharing,Yes,Redesign document sharing flow to increase success ,,,
47,Technical Team Suggestions,,High,8,,Medium,5,13,,,ELK Stack AI Upgrade,Yes,Upgrade Elasticsearch Logstash Kibana stack to leverage AI capabilities for enhanced log analysis and anomaly detection.,,,
6,Product,Success Rate Improvement,Medium,5,,Low,8,13,,Yes,Smart Pending Request Auto-Redirect ,On hold, Auto-redirect users to pending sharing request on app open,,,
26,Technical,,Medium,5,,Low,8,13,,,License QR Code Display Fix,Yes,Fix License Name and Number not showing when customer scans QR code from UAE Verify portal.,,,
20,Product,New Feature,High,8,,High,3,11,,,Consent Sharing (Third Party Data),Yes,Sharing third party data via providing consent mechanism.,,,
32,Technical,,High,8,,High,3,11,,,Automated Testing,Yes,"Implement automated testing framework for regression and quality assurance, including UI test automation and tool fitment analysis.",,,
36,Design,,High,8,,High,3,11,,Yes,Accessibility Enhancement,Yes,Improve accessibility compliance (WCAG) across the application.,,,
41,Product,New feature,High,8,,High,3,11,,,Physical Document Sharing,Yes,Enable sharing of physical document representations or verified copies.,,,
43,Technical Team Suggestions,,High,8,,High,3,11,,,DR Automation (Disaster Recovery),,Automate disaster recovery processes including failover testing and recovery procedures. Reduces RTO/RPO and operational risk.,,,
44,Technical Team Suggestions,,High,8,,High,3,11,,,Blockchain Upgrade,,Upgrade blockchain infrastructure for improved performance and capabilities.,,,
53,Technical ,,High,8,,High,3,11,,,SP Integraion through SDK ,,Build an SDK to streamline the onboarding process,,,
55,Product,,Low,3,,Low,8,11,,,Reminder System,On hold,Push notification reminders before expiry. Reduces navigation friction and recaptures distracted users.,,,
57,SP ,,Low,3,,Low,8,11,SP track ,,Introducing SP off-boarding ,,,,,
45,Technical Team Suggestions,,Medium,5,,Medium,5,10,,,CI/CD Pipeline Automation,,Comprehensive CI/CD automation including code quality gates coverage thresholds and automated UI deployment pipelines.,,,
