2,Category,Feature_Name,Summary,To be picked up
1,Product,Status-Based Reporting Implementation,"Deploy 23-status-code tracking system to enable accurate measurement of all sharing requests. Foundation for all optimization. Database schema enhancement to track status transition history (previous_status, timestamps) for journey analysis.",Yes
2,Technical,Document Pre-Check API,API endpoint for SPs to verify document availability before creating share requests. Prevents futile requests.,
3,Product,Issuer Retry Logic,Implement intelligent retry with exponential backoff and circuit breaker for issuer document retrieval failures.,
4,Product,Android Optimization Sprint,"Dedicated investigation and fix sprint for Android platform covering notifications, UX friction, crashes, and performance.",
5,Product,User Behavior Analytics Tool Selection,"Select and integrate analytics tool (UXCam/Firebase Analytics) to enable data-driven optimization, session replay, and Real User Monitoring (RUM) for user behavior patterns.",
6,Product,Smart Pending Request Auto-Redirect & Reminder System,Two-part system: (1) Auto-redirect users to pending sharing request on app open; (2) Push notification reminders before expiry. Reduces navigation friction and recaptures distracted users.,Yes
8,UX,UX Enhancements Bundle,Placeholder for UI/UX enhancements.,
9,Technical,Error-to-Status Code Linking System,Structured error taxonomy mapped to status codes for automated troubleshooting and support ticket reduction.,Yes
10,Product,Dual Citizenship GA,Complete Primary/Secondary EID handling with final EN/AR copy approval and edge case handling.,Yes
11,Product,Auto-Add Documents Launch / One-Time Consent,One-time consent for DV to periodically check and auto-add new/updated documents from issuers.,Yes
12,Product,Customer Feedback Mechanism,In-app feedback tool and banner for user research recruitment to enable continuous discovery and UX validation.,
13,Product,SP Quality Scoring Program,"Dashboard showing SP conversion metrics, quality scorecard, best practices guidance, and quarterly reviews.",
14,Product,QR Verification Phase 1 MVP,"Secure QR verification with masked references, time-limited codes, anti-replay protection for in-person use cases.",Yes
15,Product,AI Chatbot / AI Agent for Uploaded Documents,"Advanced chatbot for document search, request assistance, language translation, and summarization. User-facing scope; see Rank 53 for multi-stakeholder extension.",
16,Product,Selective Disclosure (Attribute-Level),Critical industry standard allowing users to share only necessary attributes rather than entire documents. Enhances user control and privacy.,
17,Design,Design System Update,Update and maintain the DV design system for consistency across platforms.,Yes
18,UX,Home Page Revamp,Redesign the DV home page for improved user experience and engagement.,Yes
19,UX,UX/UI Enhancements Bundle 2,Second bundle of UI/UX improvements based on user feedback and analytics.,Yes
20,UX,Form Filler,Auto-fill forms using stored document data to streamline user workflows.,Yes
21,Product,Consent Sharing (Third Party Data),Sharing third party data via providing consent mechanism.,
