Rank,Feature_Name,Summary,Impact_Score,Effort_Score,ROI,Target_Users,Stakeholder_Dependencies,Data_Confidence,Risk_Level,Strategic_Category,Priority_Score,Recommended_Quarter,Expected_Impact,Rationale
1,Status-Based Reporting Implementation,Deploy 23-status-code tracking system to enable accurate measurement of all sharing requests. Foundation for all optimization.,10,5,2,Operations,None,High,Low,Foundation,85,2026 Q1,"100% measurement accuracy, validated baselines",FOUNDATIONAL REQUIREMENT. Cannot optimize what we cannot measure. All other initiatives depend on accurate data. 350K request analysis revealed gaps in current tracking.
2,Document Pre-Check API,API endpoint for SPs to verify document availability before creating share requests. Prevents futile requests.,10,5,2,SPs,None,High,Low,Conversion Opt,85,2026 Q1,"-72K futile requests/week, +10K shares/week",Data shows 20.6% of requests (72K/week) fail due to missing docs with 0% success rate. Highest ROI quick win. SP-positive - reduces wasted integration effort.
3,Issuer Retry Logic,Implement intelligent retry with exponential backoff and circuit breaker for issuer document retrieval failures.,8,4,2,All Users,ICP,High,Low,Platform Maturity,80,2026 Q1,"-52% issuer failures, +1500 shares/week",26.1% of technical failures (3167/week) are issuer retrieval issues. Many are transient and recoverable with retry logic.
4,Android Optimization Sprint,"Dedicated investigation and fix sprint for Android platform covering notifications, UX friction, crashes, and performance.",9,6,1.5,Android Users (43%),None,High,Medium,Conversion Opt,78,2026 Q1,"+15K shares/week, close 10% platform gap",Data shows Android at 67.7% vs iOS 77.8% - 10 percentage point gap affecting 43% of users. 15K lost shares/week is material.
5,User Behavior Analytics Tool Selection,Select and integrate analytics tool (UXCam/Firebase Analytics) to enable data-driven optimization and session replay.,7,3,2.33,Operations,None,Medium,Low,Foundation,76,2026 Q1,"Enable continuous user research, validate A/B tests",MUST PRECEDE consent screen A/B testing and Android optimization validation. Tool evaluated (UXCam) but never selected. Critical foundation for measuring ALL conversion improvements.
6,Smart Pending Request Auto-Redirect & Reminder System,Two-part system: (1) Auto-redirect users to pending sharing request on app open; (2) Push notification reminders before expiry. Reduces navigation friction and recaptures distracted users.,8,4,2,All Users,None,High,Low,Conversion Opt,79,2026 Q2,"-3.8% abandonment rate, +4500 shares/week",Combined feature replacing simple reminder. Auto-redirect eliminates 2-3 navigation steps. Reminder recaptures 7% of abandoned requests. Data shows 17.8% abandon without action - this addresses root cause (navigation friction + forgetfulness).
7,Status Chain/History Tracking,"Database schema enhancement to track status transition history (previous_status, timestamps) for journey analysis.",8,4,2,Operations,None,High,Low,Foundation,80,2026 Q2,"Enable user journey analysis, identify stuck points",EXTENSION of Status-Based Reporting. Adds status_log table with state machine validation. Critical for understanding WHERE users get stuck in funnel. Must ship after Initiative 0.
8,UX Enhancements Bundle,Place holder for UI/UX enhancments ,7,4,1.75,All Users,DDA,Medium,Low,Platform Maturity,73,2026 Q2,"-20% doc discovery time, +15% PDF satisfaction",Multiple UX issues identified in user research and Miro boards. Low-medium effort bundle with cumulative impact on user satisfaction.
9,Error-to-Status Code Linking System,Structured error taxonomy mapped to status codes for automated troubleshooting and support ticket reduction.,7,4,1.75,Operations,None,Medium,Low,Foundation,73,2026 Q2,"Reduce support burden, automated error classification","Connects technical errors (issuer timeout, signing failure) to user-facing status codes. Enables automated troubleshooting guides. Depends on Status-Based Reporting."
10,Dual Citizenship GA,Complete Primary/Secondary EID handling with final EN/AR copy approval and edge case handling.,7,5,1.4,Specific Segment,DDA,Medium,Medium,Platform Maturity,70,2026 Q1-Q2,95%+ dual user onboarding success,"Feature completion for Special Emirati Citizenship users. In development, needs GA release. Limited user segment but strategic government priority."
11,Auto-Add Documents Launch,One-time consent for DV to periodically check and auto-add new/updated documents from issuers. Same as One-Time Consent feature.,9,8,1.13,Majority (>50%),Legal,High,High,Platform Maturity,68.5,2026 Q2,"-10% missing doc failures, +5% doc freshness",Addresses root cause of 20.6% dead-on-arrival requests. Proactive beats reactive. Legal dependency is key risk - requires Q1 clearance.
12,Customer Feedback Mechanism,In-app feedback tool and banner for user research recruitment to enable continuous discovery and UX validation.,6,4,1.5,All Users,DDA,Medium,Low,Foundation,68,2026 Q2,"Enable continuous user research, validate UX changes",From Miro boards - planned but never built. Prevents building wrong solutions based on assumptions. Essential for validating UX changes before rollout.
13,SP Quality Scoring Program,"Dashboard showing SP conversion metrics, quality scorecard, best practices guidance, and quarterly reviews.",7,5,1.4,SPs,None,Medium,Medium,Ecosystem Growth,68,2026 Q3,+10% bottom-quartile SP conversion,SP behavior impacts conversion. No current mechanism to surface or incentivize improvement. Top 5 SPs are 69.5% of volume.
14,QR Verification Phase 1 MVP,"Secure QR verification with masked references, time-limited codes, anti-replay protection for in-person use cases.",9,9,1,All Users,Multiple (TDRA/DDA/Legal),Medium,High,Ecosystem Growth,64,2026 Q3,"50K verifications/month, 10 pilot SPs, new use cases","Enables new use cases (hospitals, hotels, HR). 10x SP ecosystem potential. Benchmarked against Singpass, EU Wallet, Apple. Requires multi-stakeholder approval."
15,AI Chatbot Stage 2,"Advanced chatbot for document search, request assistance, language translation, and summarization.",6,9,0.67,All Users,Multiple,Low,High,Innovation,46,2027+,Enhanced self-service,"From Miro boards - depends on Stage 1 success. High complexity, uncertain value."
16,Selective Disclosure (Attribute-Level),"A critical industry standard that enhances user control and privacy by allowing users to share only necessary attributes, rather than sharing the entire document",,,,,,,,,,,,
17,Ai agent for uploaded documents,"Ask the agent anything about any of the uploaded documents ,Integrate an intelligence layer to enable natural language querying across the entire vault (e.g., ""Show me all active insurance policies"") and provide instant summaries of long documents",,,,,,,,,,,,
